zone_id,algorithm,route_id,order_id,merchant_type,demand,serving_vehicle,in_route_position
Z092,CW,0,23,supermarket,20000.0,large,0
Z092,CW,0,21,supermarket,8.32236343177309,large,1
Z092,CW,0,34,convenience,2.71770839618631,large,2
Z092,CW,0,61,mall,3.03726471409096,large,3
Z092,CW,0,9,supermarket,14.6906085496034,large,4
Z092,CW,0,11,supermarket,24.86,large,5
Z092,CW,0,57,mall,7.89666748383305,large,6
Z092,CW,0,15,convenience,2.5738920422255,large,7
Z092,CW,0,44,mall,4.2804972716927,large,8
Z092,CW,0,50,supermarket,11.089704519365,large,9
Z092,CW,0,1,mall,9.34453314509122,large,10
Z092,CW,0,10,supermarket,1.03017274259246,large,11
Z092,CW,0,4,convenience,21.1261611249797,large,12
Z092,CW,0,2,convenience,11.4131787566951,large,13
Z092,CW,0,14,convenience,34.6836081568491,large,14
Z092,CW,0,24,supermarket,7.82779383767388,large,15
Z092,CW,0,3,convenience,6.44666479200167,large,16
Z092,CW,0,38,convenience,6.58674834553195,large,17
Z092,CW,0,16,convenience,26.3291582696245,large,18
Z092,CW,0,0,mall,38.3971190546784,large,19
Z092,CW,0,12,supermarket,3.34994302684915,large,20
Z092,CW,0,13,convenience,4.08903091623851,large,21
Z092,CW,0,22,supermarket,10.2210919304996,large,22
Z092,CW,0,8,supermarket,2.55460789218522,large,23
Z092,CW,0,5,convenience,6.95431205168392,large,24
Z092,CW,0,6,convenience,10.1337276393723,large,25
Z092,CW,0,18,supermarket,9.66553815714426,large,26
Z092,CW,0,17,supermarket,2.28167938201534,large,27
Z092,CW,0,7,convenience,18.3136136475392,large,28
Z092,CW,0,32,convenience,11.5111376602769,large,29
Z092,CW,0,64,convenience,2.29442892149615,large,30
Z092,CW,0,62,convenience,12.7272217039934,large,31
Z092,CW,0,20,supermarket,47.3778187114393,large,32
Z092,CW,0,30,mall,7.57719433923348,large,33
Z092,CW,0,59,supermarket,4.87525426588266,large,34
Z092,CW,0,58,supermarket,35.0,large,35
Z092,CW,0,31,mall,765.26,large,36
Z092,CW,0,27,convenience,3.92189116856393,large,37
Z092,CW,0,35,convenience,9.79,large,38
Z092,CW,0,28,convenience,14.5039406571777,large,39
Z092,CW,0,40,convenience,7.4123869497059,large,40
Z092,CW,0,52,mall,28.0904461095245,large,41
Z092,CW,0,65,convenience,13.1227652681165,large,42
Z092,CW,0,29,mall,6.16523768705235,large,43
Z092,CW,0,26,convenience,40.8549136526366,large,44
Z092,CW,0,66,convenience,15.7547227489233,large,45
Z092,CW,0,36,convenience,4.18627212283608,large,46
Z092,CW,0,67,convenience,5.03809995634789,large,47
Z092,CW,0,19,supermarket,30.9492391392647,large,48
Z092,CW,0,63,convenience,2.73433248309779,large,49
Z092,CW,0,25,convenience,10.1114601697797,large,50
Z092,CW,0,33,convenience,4.72464957555109,large,51
Z092,CW,0,60,supermarket,7.25862079134398,large,52
Z092,CW,0,46,mall,100.0,large,53
Z092,CW,0,55,mall,38.1759722769765,large,54
Z092,CW,0,45,mall,200.0,large,55
Z092,CW,0,47,mall,10.1507428960413,large,56
Z092,CW,0,48,mall,16.3382272701971,large,57
Z092,CW,0,41,mall,11.9083812029053,large,58
Z092,CW,0,43,mall,5.5718430717641,large,59
Z092,CW,0,53,mall,8.26758636558927,large,60
Z092,CW,0,51,supermarket,2.55163246839064,large,61
Z092,CW,0,56,mall,48.6441259927835,large,62
Z092,CW,0,54,mall,15.307,large,63
Z092,CW,0,49,supermarket,15.9409299622509,large,64
Z092,CW,0,42,mall,11.6106918493003,large,65
Z092,CW,0,69,mall,2.11391832854511,large,66
Z092,CW,0,37,convenience,3.22742697634387,large,67
Z092,CW,0,68,convenience,43.1595935434467,large,68
Z092,CW,0,70,mall,4.42614647882095,large,69
Z092,CW,0,39,convenience,18.2116463842087,large,70
Z092,SA,0,23,supermarket,20000.0,large,0
Z092,SA,1,31,mall,765.26,medium,0
Z092,SA,1,45,mall,200.0,medium,1
Z092,SA,1,46,mall,100.0,medium,2
Z092,SA,1,56,mall,48.6441259927835,medium,3
Z092,SA,1,20,supermarket,47.3778187114393,medium,4
Z092,SA,1,68,convenience,43.1595935434467,medium,5
Z092,SA,1,26,convenience,40.8549136526366,medium,6
Z092,SA,1,0,mall,38.3971190546784,medium,7
Z092,SA,1,55,mall,38.1759722769765,medium,8
Z092,SA,1,58,supermarket,35.0,medium,9
Z092,SA,1,14,convenience,34.6836081568491,medium,10
Z092,SA,1,19,supermarket,30.9492391392647,medium,11
Z092,SA,1,52,mall,28.0904461095245,medium,12
Z092,SA,1,16,convenience,26.3291582696245,medium,13
Z092,SA,1,11,supermarket,24.86,medium,14
Z092,SA,1,4,convenience,21.1261611249797,medium,15
Z092,SA,1,7,convenience,18.3136136475392,medium,16
