zone_id,algorithm,route_id,vehicle_type,route_load,capacity_utilization,route_length,fixed_cost
Z092,CW,0,large,21957.06528842783,4.391413057685567,71,0
Z092,SA,0,large,20000.0,4.0,1,0
Z092,SA,1,medium,1957.065288427823,0.6523550961426077,70,0
Z092,TS,0,small,38.3971190546784,0.0383971190546784,1,0
Z092,TS,1,small,9.34453314509122,0.009344533145091219,1,0
Z092,TS,2,small,11.4131787566951,0.0114131787566951,1,0
Z092,TS,3,small,6.44666479200167,0.0064466647920016695,1,0
Z092,TS,4,small,21.1261611249797,0.021126161124979698,1,0
Z092,TS,5,small,6.95431205168392,0.00695431205168392,1,0
Z092,TS,6,small,10.1337276393723,0.0101337276393723,1,0
Z092,TS,7,small,18.3136136475392,0.0183136136475392,1,0
Z092,TS,8,small,2.55460789218522,0.00255460789218522,1,0
Z092,TS,9,small,14.6906085496034,0.0146906085496034,1,0
Z092,TS,10,small,1.03017274259246,0.00103017274259246,1,0
Z092,TS,11,small,24.86,0.02486,1,0
Z092,TS,12,small,3.34994302684915,0.0033499430268491503,1,0
Z092,TS,13,small,4.08903091623851,0.00408903091623851,1,0
Z092,TS,14,small,34.6836081568491,0.034683608156849094,1,0
Z092,TS,15,small,2.5738920422255,0.0025738920422255,1,0
Z092,TS,16,small,26.3291582696245,0.0263291582696245,1,0
Z092,TS,17,small,2.28167938201534,0.00228167938201534,1,0
Z092,TS,18,small,9.66553815714426,0.00966553815714426,1,0
Z092,TS,19,small,30.9492391392647,0.0309492391392647,1,0
Z092,TS,20,small,47.3778187114393,0.047377818711439305,1,0
Z092,TS,21,small,8.32236343177309,0.008322363431773089,1,0
Z092,TS,22,small,10.2210919304996,0.0102210919304996,1,0
Z092,TS,23,large,20000.0,4.0,1,0
Z092,TS,24,small,7.82779383767388,0.00782779383767388,1,0
Z092,TS,25,small,10.1114601697797,0.0101114601697797,1,0
Z092,TS,26,small,40.8549136526366,0.0408549136526366,1,0
Z092,TS,27,small,3.92189116856393,0.00392189116856393,1,0
Z092,TS,28,small,14.5039406571777,0.014503940657177701,1,0
Z092,TS,29,small,6.16523768705235,0.00616523768705235,1,0
Z092,TS,30,small,7.57719433923348,0.00757719433923348,1,0
Z092,TS,31,small,765.26,0.7652599999999999,1,0
Z092,TS,32,small,11.5111376602769,0.0115111376602769,1,0
Z092,TS,33,small,4.72464957555109,0.0047246495755510895,1,0
Z092,TS,34,small,2.71770839618631,0.00271770839618631,1,0
Z092,TS,35,small,9.79,0.009789999999999998,1,0
Z092,TS,36,small,4.18627212283608,0.004186272122836079,1,0
Z092,TS,37,small,3.22742697634387,0.00322742697634387,1,0
Z092,TS,38,small,6.58674834553195,0.00658674834553195,1,0
Z092,TS,39,small,18.2116463842087,0.018211646384208698,1,0
Z092,TS,40,small,7.4123869497059,0.007412386949705901,1,0
Z092,TS,41,small,11.9083812029053,0.0119083812029053,1,0
Z092,TS,42,small,11.6106918493003,0.0116106918493003,1,0
Z092,TS,43,small,5.5718430717641,0.0055718430717641,1,0
Z092,TS,44,small,4.2804972716927,0.0042804972716927,1,0
Z092,TS,45,small,200.0,0.2,1,0
Z092,TS,46,small,100.0,0.1,1,0
Z092,TS,47,small,10.1507428960413,0.010150742896041301,1,0
Z092,TS,48,small,16.3382272701971,0.016338227270197098,1,0
Z092,TS,49,small,15.9409299622509,0.0159409299622509,1,0
Z092,TS,50,small,11.089704519365,0.011089704519365,1,0
Z092,TS,51,small,2.55163246839064,0.0025516324683906404,1,0
Z092,TS,52,small,28.0904461095245,0.0280904461095245,1,0
Z092,TS,53,small,8.26758636558927,0.008267586365589271,1,0
Z092,TS,54,small,15.307,0.015307000000000001,1,0
Z092,TS,55,small,38.1759722769765,0.0381759722769765,1,0
Z092,TS,56,small,48.6441259927835,0.0486441259927835,1,0
Z092,TS,57,small,7.89666748383305,0.00789666748383305,1,0
Z092,TS,58,small,35.0,0.035,1,0
Z092,TS,59,small,4.87525426588266,0.0048752542658826595,1,0
Z092,TS,60,small,7.25862079134398,0.00725862079134398,1,0
Z092,TS,61,small,3.03726471409096,0.00303726471409096,1,0
Z092,TS,62,small,12.7272217039934,0.0127272217039934,1,0
Z092,TS,63,small,2.73433248309779,0.00273433248309779,1,0
Z092,TS,64,small,2.29442892149615,0.00229442892149615,1,0
Z092,TS,65,small,13.1227652681165,0.013122765268116501,1,0
Z092,TS,66,small,15.7547227489233,0.0157547227489233,1,0
Z092,TS,67,small,5.03809995634789,0.00503809995634789,1,0
Z092,TS,68,small,43.1595935434467,0.04315959354344669,1,0
Z092,TS,69,small,2.11391832854511,0.00211391832854511,1,0
Z092,TS,70,small,4.42614647882095,0.0044261464788209505,1,0
Z092,VNS,0,small,86.7276568734461,0.0867276568734461,5,0
Z092,VNS,1,small,50.56781199458277,0.05056781199458277,5,0
Z092,VNS,2,large,20059.927904354667,4.011985580870934,6,0
Z092,VNS,3,small,92.84816743208911,0.09284816743208911,5,0
Z092,VNS,4,small,41.02675300405614,0.041026753004056137,4,0
Z092,VNS,5,small,94.25220564815793,0.09425220564815792,5,0
Z092,VNS,6,small,791.7906899712477,0.7917906899712477,5,0
Z092,VNS,7,small,42.0020938289206,0.0420020938289206,5,0
Z092,VNS,8,small,51.873504864733306,0.05187350486473331,6,0
Z092,VNS,9,small,342.4299001284893,0.3424299001284893,5,0
Z092,VNS,10,small,26.126218833979912,0.026126218833979913,3,0
Z092,VNS,11,small,128.77441032144392,0.12877441032144393,4,0
Z092,VNS,12,small,29.11561125445139,0.02911561125445139,5,0
