experiment_type,zone_id,algorithm,objective,distance,time,num_routes,improvement,first_stage_obj,second_stage_obj,convergence_score,param_adjustments,adaptation_steps,final_parameters
baseline,Z092,CW,2.3459742196441766,0.3459742196441767,0.032698869705200195,1,,,,,,,
baseline,Z092,SA,4.7570962780243065,0.7570962780243061,0.002002239227294922,2,,,,,,,
baseline,Z092,TS,73.49300498330246,1.4930049833024603,1.5488412380218506,71,,,,,,,
baseline,Z092,VNS,16.714634425690672,0.7146344256906723,0.15267348289489746,15,,,,,,,
baseline,Z062,CW,2.5631218162867335,0.5631218162867334,0.06952142715454102,1,,,,,,,
baseline,Z062,SA,5.511152110031331,1.0111521100313312,0.003004312515258789,3,,,,,,,
baseline,Z062,TS,108.15809472977664,1.6580947297766386,3.31309175491333,106,,,,,,,
baseline,Z062,VNS,23.521966263996614,1.021966263996615,0.32096433639526367,22,,,,,,,
baseline,Z014,CW,2.5387336953226862,0.5387336953226862,0.019521474838256836,1,,,,,,,
baseline,Z014,SA,2.397327846313197,0.8973278463131968,0.002004384994506836,1,,,,,,,
baseline,Z014,TS,54.44568036393461,1.9456803639346134,0.8690555095672607,52,,,,,,,
baseline,Z014,VNS,12.442286160142718,0.9422861601427186,0.09314703941345215,11,,,,,,,
baseline,Z024,CW,2.4572140367236472,0.4572140367236471,0.0342404842376709,1,,,,,,,
baseline,Z024,SA,3.0609107115017293,1.060910711501729,0.0020008087158203125,2,,,,,,,
baseline,Z024,TS,75.33638474026947,1.3363847402694655,1.6631362438201904,74,,,,,,,
baseline,Z024,VNS,15.952119786756473,0.9521197867564721,0.1620185375213623,15,,,,,,,
baseline,Z058,CW,2.602274596330334,0.6022745963303341,0.02899909019470215,1,,,,,,,
baseline,Z058,SA,3.6265764070909894,1.1265764070909894,0.0020024776458740234,2,,,,,,,
baseline,Z058,TS,70.79469813908455,2.2946981390845504,1.4348418712615967,68,,,,,,,
baseline,Z058,VNS,15.565645576620902,1.0656455766209019,0.1375112533569336,14,,,,,,,
baseline,Z054,CW,2.7299515139016224,0.7299515139016226,0.03977489471435547,1,,,,,,,
baseline,Z054,SA,7.413002840644097,1.413002840644097,0.002026796340942383,5,,,,,,,
baseline,Z054,TS,84.8690251128569,2.369025112856904,1.9827558994293213,81,,,,,,,
baseline,Z054,VNS,19.14915361075506,1.149153610755062,0.20445823669433594,17,,,,,,,
baseline,Z067,CW,2.7219476281246724,0.7219476281246723,0.05500459671020508,1,,,,,,,
baseline,Z067,SA,7.5498643901459435,1.5498643901459435,0.003003358840942383,4,,,,,,,
baseline,Z067,TS,98.08060432212488,3.580604322124882,2.6350040435791016,93,,,,,,,
baseline,Z067,VNS,22.73638654899152,1.7363865489915173,0.24747276306152344,19,,,,,,,
baseline,Z047,CW,2.3271662959566495,0.32716629595664937,0.013515710830688477,1,,,,,,,
baseline,Z047,SA,3.615680045506282,0.6156800455062821,0.002000570297241211,2,,,,,,,
baseline,Z047,TS,46.0668638592648,1.0668638592648023,0.6382899284362793,44,,,,,,,
baseline,Z047,VNS,10.492475435866112,0.49247543586611153,0.061510562896728516,9,,,,,,,
baseline,Z071,CW,2.4782630451035224,0.4782630451035225,0.03699755668640137,1,,,,,,,
baseline,Z071,SA,5.270346748729818,1.2703467487298175,0.0020017623901367188,2,,,,,,,
baseline,Z071,TS,80.80517309027306,1.805173090273061,1.8125426769256592,77,,,,,,,
baseline,Z071,VNS,19.05391500480626,1.0539150048062618,0.17205166816711426,16,,,,,,,
baseline,Z073,CW,2.343069164150238,0.3430691641502382,0.01599740982055664,1,,,,,,,
baseline,Z073,SA,2.704001894490429,0.7040018944904293,0.00099945068359375,1,,,,,,,
baseline,Z073,TS,51.288576889059115,1.2885768890591136,0.8035867214202881,50,,,,,,,
baseline,Z073,VNS,10.693755320078694,0.6937553200786938,0.07752013206481934,10,,,,,,,
baseline,Z090,CW,2.7434003733159313,0.7434003733159316,0.03652310371398926,1,,,,,,,
baseline,Z090,SA,2.9606257228293615,0.9606257228293615,0.002004384994506836,2,,,,,,,
baseline,Z090,TS,79.48415262766197,1.4841526276619665,1.8430900573730469,78,,,,,,,
baseline,Z090,VNS,16.884578438956396,0.8845784389563963,0.18003129959106445,16,,,,,,,
baseline,Z066,CW,2.4595427236063196,0.45954272360631965,0.021001338958740234,1,,,,,,,
baseline,Z066,SA,2.477221562813176,0.9772215628131761,0.001001596450805664,1,,,,,,,
baseline,Z066,TS,55.52993276241542,1.029932762415419,0.9227101802825928,54,,,,,,,
baseline,Z066,VNS,12.263865062573563,0.7638650625735633,0.09037160873413086,11,,,,,,,
baseline,Z088,CW,2.4180773822737707,0.4180773822737707,0.025537490844726562,1,,,,,,,
baseline,Z088,SA,2.725905495395544,0.725905495395544,0.003000020980834961,2,,,,,,,
baseline,Z088,TS,62.92170034747774,0.9217003474777397,1.1926336288452148,62,,,,,,,
baseline,Z088,VNS,13.611728947395878,0.6117289473958776,0.11651229858398438,13,,,,,,,
baseline,Z077,CW,2.3929629837858597,0.3929629837858597,0.017999887466430664,1,,,,,,,
baseline,Z077,SA,2.1223675293943733,0.6223675293943736,0.002002239227294922,1,,,,,,,
baseline,Z077,TS,50.070043579268386,1.0700435792683844,0.7790825366973877,49,,,,,,,
baseline,Z077,VNS,10.543537339863544,0.5435373398635436,0.07402825355529785,10,,,,,,,
baseline,Z091,CW,2.6265132734980465,0.6265132734980463,0.029001712799072266,1,,,,,,,
baseline,Z091,SA,2.50197548065106,1.0019754806510601,0.0010013580322265625,1,,,,,,,
